timestamp,operation,controller,details,username,status
Mon May 20 23:56:14 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Mon May 20 23:56:18 EEST 2019,READ,controller.MedicController,User reads all medics with specialization=neuro,,OK
Mon May 20 23:56:23 EEST 2019,READ,controller.MedicController,User reads all medics with specialization=cardio,,OK
Mon May 20 23:56:28 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:00:33 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 00:00:33 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 00:00:33 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:08:05 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 00:08:05 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 00:08:05 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:08:38 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 00:08:38 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 00:08:39 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:09:12 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 00:09:12 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 00:09:12 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:10:42 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 00:10:42 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 00:10:42 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:10:45 EEST 2019,UPDATE,controller.PatientController,Patient sends request to medic with id=1,bogdan,OK
Tue May 21 00:10:48 EEST 2019,UPDATE,controller.PatientController,Patient sends request to medic with id=3,bogdan,OK
Tue May 21 00:11:06 EEST 2019,UPDATE,controller.PatientController,Patient sends request to medic with id=1,bogdan,OK
